uuid,省,市,区县,网点名称,地址,开办业务,邮编,页面URL,抓取状态
50159,湖北省,襄阳市,樊城区,田山邮政支局,襄阳市樊城区太平店镇田山村七组化纤东路86号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441033,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50159,OK
50160,湖北省,襄阳市,樊城区,牛首邮政支局,湖北省襄阳市樊城区牛首镇戏楼子路27号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441034,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50160,OK
50161,湖北省,襄阳市,樊城区,竹条邮政支局,襄阳市樊城区牛首镇熊营村6组270号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441035,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50161,OK
50162,湖北省,襄阳市,襄城区,赵庄邮政支局,襄阳市襄城区余家湖火电厂乔家庙路83号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441041,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50162,OK
50163,湖北省,宜昌市,西陵区,宜昌市夷陵大道邮政支局,宜昌市夷陵大道99号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,443000,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50163,OK
50164,湖北省,宜昌市,西陵区,宜昌市福绥路邮政支局,宜昌市福绥路47号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,443000,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50164,OK
50165,湖北省,宜昌市,西陵区,宜昌市东山邮政支局,宜昌市东山开发区城东大道29号,信件、印刷品、包裹、邮政汇兑、国际业务,443005,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50165,OK
50166,湖北省,宜昌市,西陵区,宜昌市西陵二路支局,宜昌市西陵二路12号,信件、印刷品、包裹、邮政汇兑、国际业务、报刊订阅,443000,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50166,OK
50167,湖北省,宜昌市,西陵区,宜昌市发展大道支局,宜昌市开发区发展大道37号,信件、印刷品、包裹、邮政汇兑、国际业务,443005,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50167,OK
50168,湖北省,宜昌市,西陵区,宜昌市四零三邮政支局,宜昌市西陵二路78号,信件、印刷品、包裹、邮政汇兑、国际业务,443002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50168,OK
50169,湖北省,宜昌市,伍家岗区,宜昌市杨岔路邮政支局,宜昌市东山大道348号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,443003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50169,OK
50170,湖北省,宜昌市,伍家岗区,宜昌市大桥邮政支局,宜昌市夷陵大道154号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,443003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50170,OK
50171,湖北省,宜昌市,伍家岗区,宜昌市伍家岗邮政支局,宜昌市夷陵大道441号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,443001,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50171,OK
50172,湖北省,宜昌市,西陵区,宜昌市葛洲坝支局,宜昌市樵湖二路2号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,443002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50172,OK
50173,湖北省,宜昌市,西陵区,宜昌市西坝邮政所,宜昌市西陵区西坝建设路32号,信件、印刷品、包裹、邮政汇兑,443002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50173,OK
50174,湖北省,宜昌市,西陵区,宜昌市三峡大学邮政支局,宜昌市大学路8号,信件、印刷品、包裹、邮政汇兑、国际业务,443002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50174,OK
50175,湖北省,宜昌市,西陵区,宜昌市东湖一路支局,宜昌市东湖一路3号,信件、印刷品、包裹、邮政汇兑、国际业务,443002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50175,OK
50176,湖北省,宜昌市,西陵区,宜昌市金东山邮政支局,宜昌市港窑路37号沁园春小区,信件、印刷品、包裹、邮政汇兑、国际业务,443005,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50176,OK
50177,湖北省,宜昌市,点军区,宜昌市五龙邮政支局,宜昌市点军区五龙大道7号22栋商业街106号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,443004,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50177,OK
50178,湖北省,宜昌市,点军区,宜昌市艾家邮政所,点军区艾家镇集镇8号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,443122,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50178,OK
50179,湖北省,宜昌市,点军区,宜昌市土城邮政所,宜昌市点军区土城乡土城村二组,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,443011,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50179,OK
50180,湖北省,宜昌市,点军区,宜昌市联棚邮政所,宜昌市点军区夷桥路276号联棚村党员群众服务中心1楼,信件、印刷品、包裹、邮政汇兑,443004,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50180,OK
50181,湖北省,宜昌市,猇亭区,宜昌市猇亭邮政支局,宜昌市猇亭区金岭路64号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,443007,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50181,OK
50182,湖北省,宜昌市,夷陵区,夷陵区东湖路支局,宜昌市夷陵区东湖路12-2号,信件、印刷品、包裹、邮政汇兑、国际业务、报刊订阅,443100,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50182,OK
